Company ID,Product Category,Product Name,Revenue,Sales Rep
Comp_1,Servicing,Servicing,1074442.993,180
Comp_2,Servicing,Servicing,377046.7658,219
Comp_3,Cloud,Analytics,1558229.829,96
Comp_3,Cloud,Anostic,446647.6115,96
Comp_3,Cloud,Compute,-2175.137614,96
Comp_3,Cloud,Databases,955482.2368,96
Comp_3,Cloud,Marketplace Services,1204888,96
Comp_3,Cloud,Network,380565.7556,96
Comp_3,Cloud,Ops Tools,1066029,96
Comp_3,Cloud,Serverless,-8620.83,96
Comp_3,Cloud,Storage,1569272.031,96
Comp_3,Cloud,Support,318886.7032,96
Comp_3,Servicing,Servicing,1429153.057,96
Comp_4,Servicing,Servicing,816046.7233,68
Comp_5,Cloud,Analytics,1381661,142
Comp_5,Cloud,Anostic,447839.4755,142
Comp_5,Cloud,Cloud AI and Industry Solutions,370248.4811,142
Comp_5,Cloud,Compute,312086.1529,142
Comp_5,Cloud,Databases,701192.338,142
Comp_5,Cloud,Marketplace Services,1705923,142
Comp_5,Cloud,Network,780114.246,142
Comp_5,Cloud,Ops Tools,676896,142
Comp_5,Cloud,Serverless,-13305.46,142
Comp_5,Cloud,Storage,35874.49656,142
Comp_5,Servicing,Servicing,1287050.262,142
Comp_6,Cloud,Analytics,-3624.175772,212
Comp_6,Cloud,Anostic,200307.3986,212
Comp_6,Cloud,Cloud AI and Industry Solutions,815981.2395,212
Comp_6,Cloud,Compute,945975.9108,212
Comp_6,Cloud,Databases,512274.8979,212
Comp_6,Cloud,Security,1478975.437,212
Comp_6,Cloud,Marketplace Services,615516,212
Comp_6,Cloud,Network,36926.73496,212
Comp_6,Cloud,Ops Tools,267622.3473,212
Comp_6,Cloud,Other,-1386.75882,212
Comp_6,Cloud,Serverless,700388.0484,212
Comp_6,Cloud,Storage,677969.7886,212
Comp_6,Cloud,Support,-7823.871118,212
Comp_6,Servicing,Servicing,592947.9358,212
Comp_7,Servicing,Servicing,164757.39,116
Comp_8,Servicing,Servicing,91322,23
Comp_9,Cloud,Cloud AI and Industry Solutions,619837.1362,124
Comp_9,Servicing,Servicing,1338747.692,124
Comp_10,Cloud,Compute,-4366.485675,179
Comp_10,Cloud,Marketplace Services,194677,179
Comp_10,Cloud,Network,136034.0042,179
Comp_10,Cloud,Ops Tools,453843,179
Comp_10,Servicing,Servicing,291603.7555,179
Comp_11,Servicing,Servicing,1343605,24
Comp_12,Cloud,Analytics,1450912.696,36
